mpa_vertical_code,mpa_vertical_name,mpa_vertical_description,mpa_vertical_tier,mpa_coverage_target,mpa_is_active
GENERAL,General,General industry vertical - baseline benchmarks,0,100,Yes
RETAIL,Retail,Retail industry vertical - brick and mortar and omnichannel,1,100,Yes
ECOMMERCE,Ecommerce,Ecommerce industry vertical - digital native retailers,1,100,Yes
CPG,CPG,Consumer packaged goods vertical,1,100,Yes
FINANCE,Financial Services,Financial services including banking insurance and fintech,1,100,Yes
TECHNOLOGY,Technology,Technology industry vertical including SaaS and hardware,1,100,Yes
HEALTHCARE,Healthcare,Healthcare industry vertical including pharma and providers,2,80,Yes
AUTOMOTIVE,Automotive,Automotive industry vertical including OEM and dealers,2,80,Yes
TRAVEL,Travel,Travel industry vertical including airlines hotels and OTAs,2,80,Yes
ENTERTAINMENT,Entertainment,Entertainment industry vertical including streaming and media,2,80,Yes
TELECOM,Telecom,Telecommunications industry vertical,2,80,Yes
EDUCATION,Education,Education industry vertical including higher ed and edtech,3,60,Yes
REAL_ESTATE,Real Estate,Real estate industry vertical including residential and commercial,3,60,Yes
PROFESSIONAL_SERVICES,Professional Services,B2B professional services including consulting and legal,3,60,Yes
ENERGY,Energy,Energy and utilities industry vertical,3,60,Yes
GOVERNMENT,Government,Government and public sector vertical,3,60,Yes
NON_PROFIT,Non-Profit,Non-profit and charitable organizations vertical,3,60,Yes
GAMING,Gaming,Gaming industry vertical including video games and esports,3,60,Yes
HOSPITALITY,Hospitality,Hospitality industry vertical including hotels and restaurants,3,60,Yes
B2B_PROFESSIONAL,B2B Professional Services,B2B professional services including SaaS consulting legal and accounting,3,60,Yes
