eap_agentid,agent_code,agent_name,description,capability_tags,required_inputs,instruction_char_count,kb_file_count,confidence_threshold,fallback_agent_code,max_tokens,temperature,is_active,version,effective_from,effective_to
00000000-0000-0000-0002-000000000001,ORC,Orchestrator Agent,"Central routing and workflow coordination agent that manages user interactions, routes requests to specialist agents, and maintains session state","route,workflow,gate,help,session,step,navigate,handoff,validate",user_message,7992,5,0.85,,4096,0.70,true,1.0,2026-01-01T00:00:00Z,
00000000-0000-0000-0002-000000000002,ANL,Analytics Agent,"Specialized agent for budget analysis, projections, forecasting, MMM, incrementality calculations, and ROI modeling","budget,projection,forecast,calculate,model,mmm,bayesian,causal,roi,ltv,cac,incrementality","budget,objectives,timeline",7829,19,0.90,ORC,8192,0.50,true,1.0,2026-01-01T00:00:00Z,
00000000-0000-0000-0002-000000000003,AUD,Audience Agent,"Expert agent for audience strategy, segmentation, targeting, persona development, LTV analysis, and identity resolution","audience,segment,target,persona,ltv,journey,propensity,identity,cohort,lookalike","audience_data,objectives",7954,23,0.85,ORC,8192,0.60,true,1.0,2026-01-01T00:00:00Z,
00000000-0000-0000-0002-000000000004,CHA,Channel Agent,"Channel strategy specialist handling media mix, channel selection, emerging channels, retail media, and CTV recommendations","channel,media,mix,allocation,emerging,retail,ctv,programmatic,social,search,display,video","objectives,budget,audience",7659,10,0.85,ORC,8192,0.60,true,1.0,2026-01-01T00:00:00Z,
00000000-0000-0000-0002-000000000005,SPO,Supply Path Agent,"Programmatic supply chain expert managing SSP/DSP selection, fee optimization, NBI scoring, and supply path transparency","programmatic,ssp,dsp,fee,supply,nbi,partner,inventory,transparency,takerate","programmatic_budget,partners",7765,15,0.90,ORC,4096,0.50,true,1.0,2026-01-01T00:00:00Z,
00000000-0000-0000-0002-000000000006,DOC,Document Agent,"Document generation specialist creating briefs, reports, presentations, and exportable deliverables from session data","document,export,report,brief,template,pdf,pptx,download,summary,deliverable",session_data,7714,6,0.80,ORC,16384,0.70,true,1.0,2026-01-01T00:00:00Z,
00000000-0000-0000-0002-000000000007,PRF,Performance Agent,"Performance optimization expert handling attribution, measurement, anomaly detection, incrementality testing, and optimization","performance,attribution,optimize,anomaly,incremental,measurement,kpi,benchmark,tracking","campaign_data,metrics",7988,26,0.85,ORC,8192,0.50,true,1.0,2026-01-01T00:00:00Z,
00000000-0000-0000-0002-000000000008,CHG,Change Management Agent,"Assesses organizational readiness for change, maps stakeholders with power-interest analysis, and creates adoption plans for transformation initiatives","change,readiness,stakeholder,adoption,rollout,transformation,resistance,adkar,kotter",change_description,7951,3,0.85,ORC,8192,0.60,true,1.0,2026-01-01T00:00:00Z,
00000000-0000-0000-0002-000000000009,CST,Consulting Strategy Agent,"Selects strategic frameworks, applies analysis methodologies, and prioritizes initiatives using RICE, weighted matrices, and MoSCoW methods","framework,strategic,prioritize,initiative,consulting,swot,porter,pestel,analysis",challenge_type,7955,4,0.80,ORC,8192,0.50,true,1.0,2026-01-01T00:00:00Z,
00000000-0000-0000-0002-000000000010,MKT,Marketing Strategy Agent,"Develops campaign strategies, creates creative briefs, defines brand positioning, and builds go-to-market plans","campaign,creative,brief,positioning,gtm,brand,launch,messaging,value_proposition",objectives,7808,5,0.80,ORC,8192,0.60,true,1.0,2026-01-01T00:00:00Z,
