capability_code,capability_name,agent_code,description,input_schema,output_schema,is_active
CST_FRAMEWORK_SELECT,Select Consulting Framework,CST,"Recommend appropriate frameworks based on challenge type and context","{""challenge_type"": ""string"", ""industry"": ""string"", ""complexity"": ""string""}","{""frameworks"": [{""code"": ""string"", ""name"": ""string"", ""fit_score"": ""number"", ""rationale"": ""string""}]}",true
CST_ENGAGEMENT_GUIDE,Guide Consulting Engagement,CST,"Guide user through discovery, assessment, recommendations, roadmap phases","{""current_phase"": ""string"", ""context"": ""object""}","{""guidance"": ""string"", ""next_steps"": [""string""], ""questions"": [""string""]}",true
CST_STRATEGIC_ANALYZE,Apply Strategic Analysis,CST,"Apply strategic framework to analyze situation","{""framework_code"": ""string"", ""inputs"": ""object""}","{""analysis"": ""object"", ""insights"": [""string""], ""recommendations"": [""string""]}",true
CST_PRIORITIZE,Prioritize Initiatives,CST,"Score and rank initiatives using RICE, weighted matrix, or MoSCoW","{""method"": ""string"", ""items"": [{""name"": ""string"", ""attributes"": ""object""}], ""criteria"": ""object""}","{""ranked_items"": [{""name"": ""string"", ""score"": ""number"", ""rank"": ""number""}], ""rationale"": ""string""}",true
CHG_READINESS,Assess Change Readiness,CHG,"Evaluate organizational readiness for change initiative","{""change_description"": ""string"", ""org_context"": ""object""}","{""readiness_score"": ""number"", ""strengths"": [""string""], ""gaps"": [""string""], ""recommendations"": [""string""]}",true
CHG_STAKEHOLDER,Map Stakeholders,CHG,"Identify and analyze stakeholders for change initiative","{""change_description"": ""string"", ""stakeholder_list"": [""string""]}","{""stakeholder_map"": [{""name"": ""string"", ""power"": ""string"", ""interest"": ""string"", ""strategy"": ""string""}]}",true
CHG_ADOPTION,Plan Adoption,CHG,"Create adoption and rollout plan for change initiative","{""change_description"": ""string"", ""timeline"": ""string"", ""constraints"": ""object""}","{""phases"": [{""name"": ""string"", ""activities"": [""string""], ""duration"": ""string""}], ""success_metrics"": [""string""]}",true
ANL_NPV,Calculate NPV,ANL,"Calculate net present value with sensitivity analysis","{""cash_flows"": [""number""], ""discount_rate"": ""number"", ""initial_investment"": ""number""}","{""npv"": ""number"", ""sensitivity"": {""rate_minus_1"": ""number"", ""rate_plus_1"": ""number""}}",true
ANL_IRR,Calculate IRR,ANL,"Calculate internal rate of return","{""cash_flows"": [""number""], ""initial_investment"": ""number""}","{""irr"": ""number"", ""mirr"": ""number"", ""payback_years"": ""number""}",true
ANL_TCO,Calculate TCO,ANL,"Calculate total cost of ownership","{""acquisition_cost"": ""number"", ""operating_costs"": [""number""], ""years"": ""number"", ""hidden_costs"": ""object""}","{""tco"": ""number"", ""annual_breakdown"": [""number""], ""cost_categories"": ""object""}",true
ANL_MONTECARLO,Monte Carlo Simulation,ANL,"Run Monte Carlo simulation for uncertainty analysis","{""variables"": [{""name"": ""string"", ""distribution"": ""string"", ""params"": ""object""}], ""model"": ""string"", ""iterations"": ""number""}","{""mean"": ""number"", ""std_dev"": ""number"", ""percentiles"": {""p10"": ""number"", ""p50"": ""number"", ""p90"": ""number""}}",true
ANL_SENSITIVITY,Sensitivity Analysis,ANL,"Perform tornado/spider sensitivity analysis","{""base_case"": ""object"", ""variables"": [{""name"": ""string"", ""low"": ""number"", ""high"": ""number""}]}","{""tornado_data"": [{""variable"": ""string"", ""low_impact"": ""number"", ""high_impact"": ""number""}]}",true
ANL_PAYBACK,Calculate Payback,ANL,"Calculate payback period and break-even","{""initial_investment"": ""number"", ""cash_flows"": [""number""], ""discount_rate"": ""number""}","{""simple_payback"": ""number"", ""discounted_payback"": ""number"", ""break_even_units"": ""number""}",true
DOC_BUSINESSCASE,Generate Business Case,DOC,"Generate business case document from analysis","{""title"": ""string"", ""problem"": ""string"", ""solution"": ""string"", ""financials"": ""object"", ""risks"": [""string""]}","{""document_url"": ""string"", ""sections"": [""string""]}",true
DOC_ROADMAP,Generate Roadmap,DOC,"Generate implementation roadmap document","{""title"": ""string"", ""phases"": [{""name"": ""string"", ""milestones"": [""string""]}], ""timeline"": ""string""}","{""document_url"": ""string"", ""gantt_data"": ""object""}",true
