eap_capabilityid,capability_code,capability_name,description,agent_code,input_schema,output_schema,is_active,version,timeout_default_seconds
00000000-0000-0000-0003-000000000101,PRF_LEARNING_EXTRACT,Extract Campaign Learnings,Extract actionable learnings from campaign performance data with confidence scoring,PRF,"{""campaign_data"":""object"",""metrics"":""object"",""benchmarks"":""object""}","{""learnings"":""array"",""summary"":""string"",""data_quality_score"":""number""}",true,1.0,60
00000000-0000-0000-0003-000000000102,PRF_INSIGHT_CROSS,Cross-Campaign Insights,Aggregate and synthesize insights across multiple campaigns,PRF,"{""learnings_array"":""array"",""time_range"":""string"",""context"":""string""}","{""cross_campaign_insights"":""array"",""conflicts"":""array"",""meta_patterns"":""array""}",true,1.0,45
00000000-0000-0000-0003-000000000103,PRF_PATTERN_DETECT,Detect Performance Patterns,Identify recurring success and failure patterns in historical data,PRF,"{""historical_data"":""object"",""parameters"":""object""}","{""success_patterns"":""array"",""failure_patterns"":""array"",""anomalies"":""array""}",true,1.0,45
00000000-0000-0000-0003-000000000104,PRF_PLAYBOOK_GEN,Generate Optimization Playbook,Create actionable playbooks from learnings and patterns,PRF,"{""learnings"":""array"",""patterns"":""array"",""rules"":""object""}","{""playbook_name"":""string"",""rules"":""array"",""decision_tree"":""object""}",true,1.0,30
00000000-0000-0000-0003-000000000105,ANL_SOV_ANALYZE,Analyze Share of Voice,Calculate and analyze share of voice metrics across channels,ANL,"{""brand_data"":""object"",""competitor_data"":""object"",""category"":""string""}","{""sov_summary"":""object"",""competitor_breakdown"":""array"",""insights"":""array""}",true,1.0,45
00000000-0000-0000-0003-000000000106,ANL_COMP_SPEND,Estimate Competitive Spend,Estimate competitor advertising spend from available signals,ANL,"{""competitor"":""string"",""signals"":""object"",""benchmarks"":""object""}","{""estimated_total_spend"":""object"",""spend_by_channel"":""array"",""methodology_notes"":""object""}",true,1.0,60
00000000-0000-0000-0003-000000000107,MKT_COMP_MESSAGING,Map Competitive Messaging,Create competitive messaging positioning map,MKT,"{""brand_messaging"":""string"",""competitor_messaging"":""object"",""category"":""string""}","{""positioning_dimensions"":""array"",""messaging_themes"":""array"",""differentiation_score"":""number""}",true,1.0,30
00000000-0000-0000-0003-000000000108,MKT_COMP_GAPS,Identify White Space,Identify uncontested positioning and messaging opportunities,MKT,"{""landscape"":""object"",""capabilities"":""object"",""audiences"":""array""}","{""white_space_opportunities"":""array"",""underserved_audiences"":""array"",""messaging_gaps"":""array""}",true,1.0,30
00000000-0000-0000-0003-000000000109,ANL_PACE_RECOMMEND,Recommend Budget Pacing,Recommend optimal budget pacing strategy based on objectives,ANL,"{""budget"":""number"",""period"":""string"",""objectives"":""array"",""seasonality"":""object""}","{""recommended_pacing"":""object"",""pacing_curve"":""array"",""risk_factors"":""array""}",true,1.0,30
00000000-0000-0000-0003-000000000110,ANL_PACE_FORECAST,Forecast Budget Pacing,Forecast spend trajectory and identify variance from plan,ANL,"{""plan"":""object"",""actual"":""object"",""days_elapsed"":""number"",""days_remaining"":""number""}","{""current_pace"":""object"",""projection"":""object"",""correction_recommendations"":""array""}",true,1.0,45
00000000-0000-0000-0003-000000000111,ANL_SCENARIO_COMPARE,Compare Budget Scenarios,Compare multiple budget scenarios with weighted criteria,ANL,"{""scenarios"":""array"",""criteria"":""object"",""weights"":""object""}","{""scenario_scores"":""array"",""recommended_scenario"":""object"",""sensitivity_analysis"":""object""}",true,1.0,60
00000000-0000-0000-0003-000000000112,ANL_BREAKEVEN_CALC,Calculate Break-Even,Calculate break-even point and time for marketing investments,ANL,"{""investment"":""number"",""revenue_per_conversion"":""number"",""costs"":""object""}","{""break_even_summary"":""object"",""time_to_break_even"":""object"",""sensitivity_analysis"":""object""}",true,1.0,20
00000000-0000-0000-0003-000000000113,AUD_COHORT_MIGRATE,Analyze Cohort Migration,Analyze how audience cohorts move through lifecycle stages,AUD,"{""cohort_data"":""object"",""stages"":""array"",""period"":""string""}","{""migration_matrix"":""object"",""graduation_rates"":""object"",""at_risk_cohorts"":""array""}",true,1.0,45
00000000-0000-0000-0003-000000000114,AUD_DECAY_PREDICT,Predict Audience Decay,Model audience quality decay over time and predict refresh needs,AUD,"{""audience"":""object"",""decay_history"":""object"",""quality_score"":""number""}","{""decay_model"":""object"",""predictions"":""object"",""refresh_recommendation"":""object""}",true,1.0,45
00000000-0000-0000-0003-000000000115,AUD_REFRESH_RECOMMEND,Recommend Audience Refresh,Recommend optimal refresh strategy for audience portfolio,AUD,"{""inventory"":""array"",""decay_predictions"":""object"",""costs"":""object"",""budget"":""number""}","{""refresh_schedule"":""array"",""priority_ranking"":""array"",""budget_summary"":""object""}",true,1.0,30
00000000-0000-0000-0003-000000000116,AUD_LOOKALIKE_SCORE,Score Lookalike Quality,Validate lookalike model quality and identify optimization opportunities,AUD,"{""seed"":""object"",""lookalike"":""object"",""performance"":""object""}","{""quality_score"":""object"",""overlap_analysis"":""object"",""drift_analysis"":""object""}",true,1.0,30
00000000-0000-0000-0003-000000000117,CHA_FLIGHT_OPTIMIZE,Optimize Flight Pattern,Recommend optimal flighting pattern based on objectives and context,CHA,"{""objectives"":""array"",""budget"":""number"",""duration"":""string"",""channels"":""array""}","{""recommended_pattern"":""object"",""flight_schedule"":""array"",""reach_projection"":""object""}",true,1.0,45
00000000-0000-0000-0003-000000000118,CHA_DAYPART_ANALYZE,Analyze Daypart Performance,Analyze performance variation by time of day and day of week,CHA,"{""daypart_data"":""object"",""channel"":""string"",""objective"":""string""}","{""daypart_performance"":""array"",""best_dayparts"":""object"",""reallocation_recommendation"":""object""}",true,1.0,30
00000000-0000-0000-0003-000000000119,CHA_SEASON_ADJUST,Calculate Seasonality Adjustments,Calculate seasonal adjustment factors for budget allocation,CHA,"{""historical"":""object"",""category"":""string"",""period"":""string"",""events"":""array""}","{""seasonal_indices"":""array"",""peak_periods"":""object"",""budget_allocation_recommendation"":""array""}",true,1.0,30
00000000-0000-0000-0003-000000000120,CHA_FREQ_CROSS,Manage Cross-Channel Frequency,Optimize frequency management across channels,CHA,"{""reach_data"":""object"",""frequency_data"":""object"",""caps"":""object"",""overlap"":""object""}","{""unified_frequency_analysis"":""object"",""frequency_cap_recommendations"":""object"",""rebalancing_recommendations"":""array""}",true,1.0,45
00000000-0000-0000-0003-000000000121,DOC_QBR_GENERATE,Generate QBR Document,Generate Quarterly Business Review content from performance data,DOC,"{""performance"":""object"",""goals"":""object"",""context"":""string""}","{""executive_summary"":""object"",""performance_scorecard"":""object"",""strategic_recommendations"":""array""}",true,1.0,90
00000000-0000-0000-0003-000000000122,DOC_RFP_RESPOND,Assist RFP Response,Generate RFP response sections with capability mapping,DOC,"{""requirements"":""array"",""capabilities"":""object"",""differentiators"":""array""}","{""requirement_responses"":""array"",""compliance_matrix"":""array"",""gaps_identified"":""array""}",true,1.0,60
00000000-0000-0000-0003-000000000123,DOC_COMP_REPORT,Generate Competitive Report,Generate competitive analysis report with profiles and recommendations,DOC,"{""comp_data"":""object"",""focus"":""array"",""audience"":""string""}","{""executive_summary"":""object"",""competitor_profiles"":""array"",""recommended_responses"":""array""}",true,1.0,60
00000000-0000-0000-0003-000000000124,DOC_DECK_CREATE,Create Presentation Deck,Create presentation deck structure with slides and speaker notes,DOC,"{""brief"":""object"",""messages"":""array"",""audience"":""string"",""length"":""number""}","{""deck_metadata"":""object"",""narrative_arc"":""object"",""slides"":""array""}",true,1.0,90
