capability_code,capability_name,description,agent_code,implementation_type,priority_order,is_active
ML_BUDGET_OPTIMIZER,ML Budget Optimization,Gradient boosting model for optimal budget allocation,ANL,AZURE_ML,1,true
ML_RESPONSE_CURVE,ML Response Curve,Polynomial regression for diminishing returns modeling,ANL,AZURE_ML,1,true
ML_MONTE_CARLO,ML Monte Carlo,Risk simulation with 10000 iterations,ANL,AZURE_ML,1,true
ML_PROPENSITY,ML Propensity Scoring,XGBoost classifier for conversion likelihood,AUD,AZURE_ML,1,true
ML_CHURN,ML Churn Prediction,Random forest for churn risk scoring,AUD,AZURE_ML,1,true
ML_LOOKALIKE,ML Lookalike Modeling,Similarity scoring for audience expansion,AUD,AZURE_ML,1,true
ML_SEGMENTATION,ML Segmentation,K-means clustering for audience segments,AUD,AZURE_ML,1,true
ML_ANOMALY,ML Anomaly Detection,Isolation forest for performance anomalies,PRF,AZURE_ML,1,true
ML_ATTRIBUTION,ML Shapley Attribution,SHAP values for multi-touch attribution,PRF,AZURE_ML,1,true
ML_FORECASTING,ML Forecasting,Prophet model for performance prediction,PRF,AZURE_ML,1,true
ML_MEDIA_MIX,ML Media Mix Model,Bayesian MMM for channel contribution,CHA,AZURE_ML,1,true
ML_REACH_FREQ,ML Reach Frequency,Beta-binomial reach optimization,CHA,AZURE_ML,1,true
ML_PRIORITIZER,ML RICE Prioritization,Ensemble model for initiative scoring,CST,AZURE_ML,1,true
