rule_id,trigger_pattern,target_agent,priority,confidence_threshold,description
ROUTE001,calculate|projection|forecast|estimate|predict,ANL,1,0.8,Route calculations and projections to Analytics
ROUTE002,audience|segment|targeting|lookalike|ltv|rfm|customer,AUD,1,0.8,Route audience and segmentation to Audience
ROUTE003,channel|budget|allocation|mix|media|cpm|cpc|ctr,CHA,1,0.8,Route channel and allocation to Channel
ROUTE004,document|export|report|presentation|deliverable|pdf|word,DOC,1,0.8,Route document requests to Document
ROUTE005,performance|optimize|anomaly|trend|learning|variance,PRF,1,0.8,Route performance analysis to Performance
ROUTE006,supply|ssp|dsp|programmatic|nbi|fee|working media,SPO,1,0.8,Route supply path questions to SPO
ROUTE007,plan|campaign|strategy|recommend|overview,ORC,2,0.6,General planning stays with Orchestrator
ROUTE008,help|how|what|explain|define,ORC,3,0.5,General questions stay with Orchestrator
ROUTE009,scenario|compare|conservative|aggressive,ANL,1,0.85,Route scenario comparisons to Analytics
ROUTE010,segment|cohort|persona|demographic,AUD,1,0.85,Route segmentation requests to Audience
ROUTE011,benchmark|industry|average|typical,CHA,1,0.75,Route benchmark questions to Channel
ROUTE012,generate|create|produce|build,DOC,2,0.7,Route generation requests to Document
ROUTE013,underperform|overperform|variance|deviation,PRF,1,0.85,Route performance variance to Performance
ROUTE014,fee stack|tech tax|margin|transparency,SPO,1,0.85,Route fee analysis to SPO
ROUTE015,status|progress|step|gate|workflow,ORC,1,0.9,Route workflow status to Orchestrator
